 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Ocorrênc por Causas evitáveis e Ano do Óbito
Período:1996-2018
"Causas evitáveis";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
".. Sífilis congênita";124;118;127;140;85;88;95;74;66;73;67;67;56;64;90;111;148;162;177;237;197;223;263;2852
".. Doenças pelo vírus da imunodeficiência humana";314;316;262;249;212;201;158;150;114;103;111;92;97;64;77;49;69;65;44;47;32;32;32;2890
".. Feto e recém-nasc afet compl placenta membranas";299;250;278;361;335;326;320;347;395;392;468;438;389;414;454;518;561;577;668;625;667;689;736;10507
".. Feto e recém-nascido afet afecções maternas";543;555;619;737;759;710;933;773;986;1166;1311;1367;1437;1518;1644;1725;1937;2264;2202;2282;2251;2471;2461;32651
".. Feto e recém-nasc afet por compl matern gravid";859;821;881;915;1067;923;976;962;1078;1199;1253;1244;1264;1253;1222;1276;1312;1488;1668;1609;1504;1641;1604;28019
".. Crescimento fetal retardado e desnutrição fetal";97;120;111;119;190;204;204;186;165;132;133;148;132;97;132;112;122;117;105;125;102;120;124;3097
".. Transt gest curta duração e peso baixo nascer";3327;2774;2583;2668;2794;2400;2443;3148;2987;2931;3760;3434;3234;3003;2883;2671;2210;2172;1935;1742;1632;1587;1572;59890
".. Síndrome da angústia respiratória recém-nascido";7145;6920;6407;6507;6202;5835;5659;5487;4798;4549;3822;3550;3540;3311;2977;2869;2743;2543;2489;2279;2048;1978;1890;95548
".. Hemorragia pulmonar originada período perinatal";321;321;315;270;307;330;286;302;276;286;318;306;321;347;330;389;400;402;408;415;399;455;452;7956
".. Hemorragia intracran ñ traum feto e recém-nasc";255;262;253;266;259;228;199;196;184;206;124;149;143;114;126;128;131;104;109;85;98;101;75;3795
".. Isoimunização Rh ou ABO do feto e recém-nascido";74;74;68;80;84;60;57;53;54;52;40;38;36;36;32;34;29;27;29;18;29;26;32;1062
".. Out doenç hemolít feto recém-nasc dev isoimuniz";117;96;99;100;89;81;74;85;64;72;98;105;100;115;88;80;93;80;96;84;95;58;75;2044
".. Enterocolite necrotizante feto e recém-nascido";384;434;436;421;421;477;446;481;422;412;498;516;584;535;583;625;626;612;598;561;629;649;694;12044
"1.2.2 Reduz por adequada atenção à mulher no parto";6867;6570;6532;6903;6349;5900;5992;5422;5571;5226;5290;4970;4760;4595;4328;4126;3981;3910;3810;3831;3613;3745;3547;115838
".. Feto recém-nasc afet placent prév descol placen";561;531;559;610;638;593;644;534;591;590;639;583;562;626;561;551;616;586;614;592;605;649;644;13679
".. Feto e recém-nasc afet afecções cordão umbilic";221;190;232;247;231;182;226;202;226;224;174;173;166;145;143;139;138;123;128;140;109;134;113;4006
".. Feto recém-nasc afet outr complicações parto";167;170;189;264;321;339;316;294;359;375;401;376;316;340;308;322;342;353;367;391;440;503;541;7794
".. Transt gestação prolong e peso elevado nascer";7;2;4;8;4;4;2;4;9;5;8;2;5;7;8;4;8;5;7;2;1;2;1;109
".. Traumatismo de parto";136;106;78;107;94;95;112;82;77;93;110;75;91;87;76;79;77;84;58;74;62;64;50;1967
".. Hipóxia intrauterina e asfixia ao nascer";4054;3834;3793;4159;3600;3342;3444;3131;3152;2879;2864;2635;2482;2289;2193;2095;1896;1874;1751;1758;1553;1590;1432;61800
".. Síndr aspiração neonat excet leite alim regurg";1721;1737;1677;1508;1461;1345;1248;1175;1157;1060;1094;1126;1138;1101;1039;936;904;885;885;874;843;803;766;26483
"1.2.3 Reduzíveis adequada atenção ao recém-nascido";14740;16044;15190;15211;14937;14125;12986;11830;11125;10628;9102;8827;8497;8438;7457;7596;7452;7017;7030;7095;6721;6654;6303;235005
".. Transt respiratórios específ período neonatal";8513;8967;8460;8254;7835;7132;6199;5023;4308;3961;2439;2317;2319;2224;2117;2096;2200;1994;2004;1982;1954;1848;1813;95959
".. Infecç per neonatal exc SRC e hepat viral cong";4979;5696;5330;5564;5656;5591;5438;5512;5487;5348;5278;5121;4839;4782;4069;4201;4038;3839;3725;3799;3540;3595;3285;108712
".. Hemorragia neonatal exc intracraniana ñ traumát";231;236;203;225;169;218;154;162;129;143;112;120;116;110;113;101;125;96;72;102;100;116;104;3257
".. Outras icterícias neonatais";134;145;147;138;150;134;162;142;111;116;134;97;103;91;78;84;83;59;69;83;68;49;49;2426
".. Transt endócr metab transit esp feto recém-nasc";301;296;273;198;158;151;140;127;178;150;205;201;180;181;179;179;103;110;128;106;116;107;104;3871
".. Outr transt hemotológicos feto e recém-nascido";193;256;226;260;297;270;292;248;263;256;209;209;194;242;196;213;192;203;200;197;181;180;180;5157
".. Transt ap digest feto recém-nasc exc enter necr";135;146;145;133;156;139;128;122;151;130;117;165;132;134;121;114;114;121;134;120;124;127;153;3061
".. Afecç compromet tegument regul térmica feto rn";96;98;128;121;142;117;133;135;110;114;166;165;166;186;168;173;183;150;187;214;179;175;167;3473
".. Outros transt orig per perinatal (exc P95 P969)";158;204;278;318;374;373;340;359;388;410;442;432;448;488;416;435;414;445;511;492;459;457;448;9089
"1.3. Reduz ações diagnóstico e tratamento adequado";12704;10996;11295;9857;9092;8022;7334;7430;6931;6612;6032;5361;5007;4915;4364;4449;4260;4333;3972;3586;3645;3346;3471;147014
".. Tuberculose respirat c/confirm bacter e histol";1;-;-;-;3;3;4;3;-;3;1;-;-;3;2;-;3;1;1;1;1;3;1;34
".. Tuberculose vias respirat s/conf bacter histol";28;41;27;32;30;21;17;19;21;8;12;15;8;7;12;11;10;5;9;3;10;6;9;361
".. Tuberculose de outros órgãos";5;4;1;1;1;4;2;2;-;1;-;1;1;-;1;1;-;2;1;-;-;1;1;30
".. Meningite (exceto por Haemophilus)";1011;1003;950;848;664;522;454;430;430;415;419;357;322;310;268;214;190;160;172;152;153;157;159;9760
".. Infecções agudas das vias aéreas superiores";79;70;74;74;68;52;47;48;40;41;42;39;40;46;40;34;27;29;27;35;30;32;41;1055
".. Pneumonia";6526;5284;5491;4795;4326;3735;3417;3529;3321;3032;2974;2596;2392;2299;1948;2104;2004;2106;1931;1658;1698;1466;1539;70171
".. Outras infecções agudas vias aéreas inferiores";386;357;350;312;299;278;241;282;288;280;254;230;245;250;209;278;265;273;215;210;220;266;285;6273
".. Edema da laringe";6;4;3;1;3;3;2;2;-;3;-;3;3;4;1;3;2;1;-;1;2;4;2;53
".. Algumas doenças crônicas vias aéreas inferiores";268;300;277;253;269;255;245;244;182;204;203;180;125;132;122;85;106;86;90;80;63;53;59;3881
".. Algumas doenças pulmonares dev agentes externos";396;365;346;325;296;304;254;224;227;242;185;185;187;192;186;174;183;185;156;150;153;144;139;5198
".. Outras doenças causas por clamídias";-;-;-;1;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;4
".. Outras doenças bacterianas";3535;3125;3297;2756;2614;2369;2203;2163;2005;1946;1490;1334;1281;1238;1189;1132;1045;1064;914;845;909;761;769;39984
".. Hipotireoidismo congênito";2;3;3;1;2;3;5;-;3;1;1;1;4;3;5;1;7;4;3;4;2;3;2;63
".. Diabetes mellitus";34;30;41;30;38;32;24;32;31;28;38;40;25;23;29;32;24;29;23;18;19;35;31;686
".. Fenilcetonúria clássica";-;-;1;-;-;-;-;-;-;1;1;1;1;2;1;-;-;-;-;-;-;-;-;8
".. Deficiência congênita de lactase";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;2
".. Epilepsia e estado de mal epiléptico";70;77;85;77;94;89;100;85;76;84;117;100;101;95;89;99;101;100;125;113;114;117;158;2266
".. Síndrome de Down";292;266;280;300;328;296;273;315;258;281;249;232;223;243;215;222;243;225;250;256;211;231;213;5902
".. Infecção do trato urinário localiz não especif";54;64;65;40;51;47;41;44;42;31;40;41;39;61;39;57;46;59;49;57;57;63;59;1146
".. Febre reumát aguda e doenç reumát crôn coração";11;3;4;11;6;9;5;8;7;10;6;4;9;7;8;2;3;4;6;3;3;4;4;137
"1.4. Reduz. ações promoção à saúde vinc. Aç. At";11842;10621;11869;10053;9187;8390;8025;8029;7152;6827;6134;5518;5079;4750;4315;3945;3937;4119;3737;3513;3624;3453;3231;147350
".. Doenças infecciosas intestinais";6048;4726;5750;4487;3597;3199;3070;2913;2528;2490;2236;1639;1473;1258;1005;756;793;839;720;619;685;604;535;51970
".. Algumas doenças bacterianas zoonóticas";2;3;1;-;2;5;1;2;2;-;-;4;-;1;1;1;1;1;1;1;-;3;1;33
".. Febres por arbovírus e febres hemorrágic virais";-;3;1;1;3;1;5;2;3;2;14;41;71;36;52;51;17;34;29;18;41;27;21;473
".. Rickettsioses";1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2;-;3;1;4;5;18
".. Raiva";-;3;-;-;2;4;1;3;4;1;-;-;-;-;-;-;-;-;-;-;-;-;3;21
".. Doenças devidas a protozoários";115;74;98;151;174;102;105;114;114;112;135;122;95;97;99;81;69;88;62;79;76;86;79;2327
".. Helmintíases";65;83;66;65;60;60;63;44;35;51;34;38;31;46;30;19;19;24;12;19;19;11;2;896
".. Doenças infecciosas, outras e não especificadas";13;8;14;13;8;10;8;15;11;9;15;23;19;18;20;10;26;21;16;22;23;16;14;352
".. Anemias nutricionais";84;83;78;94;68;95;98;105;67;67;46;40;42;25;27;15;8;6;10;8;14;14;11;1105
".. Desnutrição e outras deficiências nutricionais";1836;1973;2344;1944;1790;1763;1477;1675;1324;1144;772;699;556;512;435;370;335;364;334;292;292;237;218;22686
".. Depleção de volume";15;17;6;2;4;3;1;2;2;5;152;131;106;88;82;77;70;71;70;53;47;41;45;1090
".. Acidentes de transporte";867;894;761;752;677;667;633;643;646;573;567;593;533;544;581;540;528;487;488;444;406;381;338;13543
".. Envenenam acid expos drogas medic subst biológ";3;9;11;8;6;5;8;14;10;6;10;9;6;5;7;6;8;6;10;2;3;3;5;160
".. Envenenamento acid exposição outr subst nocivas";30;37;45;32;29;23;25;30;29;27;22;34;24;16;14;13;25;15;18;11;19;10;8;536
".. Síndrome da morte súbita na infância";194;256;245;228;335;241;255;245;188;184;149;168;143;138;173;187;184;170;159;129;137;174;138;4420
".. Quedas";135;138;138;159;123;148;132;134;128;139;153;127;115;111;103;101;121;113;102;89;104;94;78;2785
".. Exposição ao fumo, ao fogo e às chamas";211;219;188;170;184;161;162;137;134;106;99;98;97;72;78;72;79;81;71;49;53;46;50;2617
".. Exposição às forças da natureza";21;2;8;8;10;3;16;16;2;5;4;9;12;8;33;44;3;15;3;4;3;7;4;240
".. Afogamento e submersão acidentais";609;586;592;554;579;533;551;566;524;510;527;493;527;520;429;445;449;436;427;380;428;470;406;11541
".. Outros riscos acidentais à respiração";932;893;772;707;773;659;664;699;727;714;624;633;678;676;634;657;680;737;709;727;744;696;719;16454
".. Expos corr elétr radiação temperat press extrem";78;86;96;77;95;85;108;111;97;96;75;82;74;63;64;64;58;51;46;55;40;56;41;1698
".. Agressões";194;167;207;193;183;192;190;183;146;173;172;172;164;188;175;159;199;253;210;210;204;202;212;4348
".. Eventos (fatos) cuja intenção é indeterminada";306;270;370;303;389;319;332;281;319;331;241;245;243;250;187;193;185;207;159;200;189;168;221;5908
".. Exposição a forças mecânicas inanimadas";35;45;26;53;47;52;71;60;77;51;58;83;50;45;60;56;44;61;52;64;46;61;40;1237
".. Acid ocorr durante prest cuid médicos cirúrgic";3;6;2;3;2;3;1;2;1;-;1;-;1;3;2;3;2;-;-;-;-;-;1;36
"...Reação anorm pac ou compl tardia proced médic";30;28;38;38;37;52;43;24;26;22;25;27;14;27;21;23;29;34;27;30;45;36;36;712
".. Efeit adv drog medic e subst biológ terapêutic";15;12;12;11;10;5;5;9;8;9;3;7;5;3;3;1;5;3;2;5;5;6;-;144
"2. Causas mal definidas";12986;11269;11873;10966;11373;8995;7664;7303;6133;4612;3528;2839;2789;2582;2291;2021;1961;1842;1625;1509;1659;1514;1453;120787
".. Sintomas, sinais e achados anormais";11649;9909;10623;9867;9909;7723;6583;6081;4821;3521;2825;2299;2231;2005;1808;1608;1432;1284;1189;1010;1182;1057;1063;101679
".. Morte fetal de causa não especificada";-;5;34;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40
".. Afecções orig período perinatal não especific";1337;1355;1216;1099;1463;1272;1081;1222;1312;1091;703;540;558;577;483;413;529;558;436;499;477;457;390;19068
"3. Demais causas (não claramente evitáveis)";14541;14877;15032;15408;15607;15472;15152;15515;15088;14721;14710;14239;14201;13847;13437;13585;13380;13357;13671;13396;13587;13354;13682;329859
"Total";87769;83696;84438;81391;79470;72873;69093;67846;63651;60247;56855;53252;51716;50033;46877;46375;45465;45303;44537;43096;42562;42141;41733;1360419
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 
